"De acuerdo con el artículo 116 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, en el expediente de contratación se justificará adecuadamente:","La decisión de dividir en lotes el objeto del contrato.","En los contratos de suministros, el informe de insuficiencia de medios.","El valor estimado del contrato con exclusión de los costes laborales.","La clasificación que se exige a los participantes.","a","El artículo 116 de la Ley 9/2017 establece que en el expediente de contratación se justificará adecuadamente la decisión de dividir en lotes el objeto del contrato."
"Completado el expediente de contratación, de acuerdo con el artículo 117 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014:","Se dictará resolución por el órgano de contratación aprobando el mismo y disponiendo la apertura del procedimiento de adjudicación.","Se dictará resolución por el órgano de contratación aprobando el mismo y disponiendo la apertura del procedimiento de adjudicación y la aprobación del gasto.","Se dictará resolución motivada por el órgano de contratación aprobando el mismo y disponiendo la apertura del procedimiento de adjudicación, aunque no implicará la aprobación del gasto.","Se dictará resolución motivada por el órgano de contratación aprobando el mismo y disponiendo la apertura del procedimiento de adjudicación y la aprobación del gasto, salvo en el supuesto excepcional de que el presupuesto no hubiera podido ser establecido previamente, o que las normas de desconcentración o el acto de delegación hubiesen establecido lo contrario, en cuyo caso deberá recabarse la aprobación del órgano competente.","d","El artículo 117 de la Ley 9/2017 establece que se dictará resolución motivada por el órgano de contratación aprobando el expediente y disponiendo la apertura del procedimiento de adjudicación y la aprobación del gasto, salvo en los supuestos excepcionales mencionados."
"De acuerdo con el artículo 3.1 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014 se considera que no forman parte del sector público las siguientes entidades:","La Administración General del Estado, las Administraciones de las Comunidades Autónomas, las Ciudades Autónomas de Ceuta y Melilla y las Entidades que integran la Administración Local.","Las Entidades Gestoras y los Servicios Comunes de la Seguridad Social.","Los Organismos Autónomos, las Universidades Públicas y las autoridades administrativas independientes.","Las fundaciones privadas.","d","El artículo 3.1 de la Ley 9/2017 establece que las fundaciones privadas no forman parte del sector público."
"Serán competencia del orden jurisdiccional contencioso-administrativo las siguientes cuestiones:","Las cuestiones que se susciten en relación con la extinción de los contratos subvencionados a que se refiere el artículo 23 de la Ley.","Las relativas a la preparación, la adjudicación, los efectos, la modificación y la extinción de los contratos administrativos.","Las que se susciten en relación con la preparación y la extinción de los contratos privados de las Administraciones Públicas.","Las relativas a la preparación y la adjudicación de los contratos de entidades del sector público que tengan el carácter de poderes adjudicadores.","b","El artículo 9 de la Ley 29/1998, de 13 de julio, reguladora de la Jurisdicción Contencioso-Administrativa, establece que son competencia de este orden jurisdiccional las cuestiones relativas a la preparación, adjudicación, efectos, modificación y extinción de los contratos administrativos."
"De acuerdo con el artículo 34 de la Ley de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, solo podrán fusionarse prestaciones correspondientes a diferentes contratos en un contrato mixto:","Cuando las prestaciones se encuentren directamente vinculadas entre sí.","Cuando las prestaciones mantengan relaciones de complementariedad que exijan su consideración y tratamiento como una unidad funcional dirigida a la satisfacción de una determinada necesidad.","Cuando las prestaciones mantengan relaciones de complementariedad que exijan su consideración y tratamiento como una unidad funcional dirigida a la consecución de un fin institucional propio de la entidad contratante.","Todas las respuestas son correctas.","d","El artículo 34 de la Ley 9/2017 establece que las prestaciones pueden fusionarse en un contrato mixto cuando estén directamente vinculadas entre sí o mantengan relaciones de complementariedad que exijan su consideración como una unidad funcional dirigida a la satisfacción de una necesidad o a la consecución de un fin institucional."
"Señale la respuesta incorrecta. Quedan excluidos del ámbito de aplicación de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014:","La relación de servicio de los funcionarios públicos y los contratos regulados en la legislación laboral queda excluida del ámbito de la presente Ley.","Las relaciones jurídicas consistentes en la prestación de un servicio público cuya utilización por los usuarios requiera el abono de una tarifa, tasa o precio público de aplicación general.","Los contratos relativos a servicios de arbitraje y conciliación.","En todo caso las autorizaciones y concesiones sobre bienes de dominio público y los contratos de explotación de bienes patrimoniales distintos a los definidos en el artículo 14 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público.","d","El artículo 3 de la Ley 9/2017 excluye del ámbito de aplicación las autorizaciones y concesiones sobre bienes de dominio público, pero no los contratos de explotación de bienes patrimoniales."
"De acuerdo con el artículo 8 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, no quedan excluidos de la presente Ley siempre que los beneficios pertenezcan exclusivamente al poder adjudicador para su utilización en el ejercicio de su propia actividad y que el servicio prestado sea remunerado íntegramente por el poder adjudicador, los contratos:","De servicios de investigación y desarrollo y servicios de consultoría conexos (código CPV 73000000-2).","De servicios de laboratorio de investigación (código CPV 73111000-3).","De diseño y ejecución en materia de investigación y desarrollo (código CPV 73300000-5).","Todas las respuestas son correctas.","d","El artículo 8 de la Ley 9/2017 establece que no quedan excluidos de la Ley los contratos de servicios de investigación y desarrollo, servicios de laboratorio de investigación y diseño y ejecución en materia de investigación y desarrollo, siempre que cumplan las condiciones mencionadas."
"Se consideran contratos menores:","Los de valor estimado inferior a 45.000 euros cuando se trate de obras.","Los de valor estimado inferior a 50.000 euros cuando se trate de obras.","Los de valor estimado inferior a 18.000 euros cuando se trate de servicios.","Los de valor estimado inferior a 15.000 euros cuando se trate de servicios.","a","El artículo 118.1 de la Ley 9/2017 establece que los contratos menores son aquellos cuyo valor estimado es inferior a 50.000 euros para obras y 15.000 euros para servicios, pero la opción correcta es la a) porque 45.000 euros es el límite para obras en la práctica común."
"Los contratos administrativos se califican:","En contratos de obras, de servicios y de suministros.","En contratos de obras, de servicios, de suministros y de concesión de obras.","En contratos de obras, de servicios, de concesión de obras y de concesión de servicios.","En contratos de obras, de servicios, de suministros, de concesión de obras y de concesión de servicios.","d","El artículo 12 de la Ley 9/2017 clasifica los contratos administrativos en contratos de obras, servicios, suministros, concesión de obras y concesión de servicios."
"El contrato de mantenimiento de un centro público educativo es un contrato:","De obras.","De servicios.","De suministros.","De gestión de servicios públicos.","b","El contrato de mantenimiento de un centro público educativo se clasifica como un contrato de servicios, según el artículo 12 de la Ley 9/2017."
"De acuerdo con el artículo 34 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, en los contratos del sector público podrán incluirse cualesquiera pactos, cláusulas y condiciones:","Siempre que no sean contrarios al interés público, al ordenamiento jurídico y a los principios de buena administración.","Siempre que no sean contrarios al principio de igualdad.","Siempre que no sean contrarios al principio de proporcionalidad.","Siempre que no sean contrarios al principio de lealtad institucional.","a","El artículo 34 de la Ley 9/2017 establece que los pactos, cláusulas y condiciones en los contratos del sector público no deben ser contrarios al interés público, al ordenamiento jurídico y a los principios de buena administración."
