"Según el art. 35.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, los actos serán motivados:", "Con sucinta referencia de hechos y fundamentos de derecho.", "Con extensa referencia a los hechos.", "Con sucinta referencia a los fundamentos de derecho.", "Con extensa referencia de hechos y fundamentos de derecho.", "a", "El artículo 35.1 de la Ley 39/2015 establece que los actos administrativos deben ser motivados con una sucinta referencia de hechos y fundamentos de derecho."
"Según el art. 35.1.f) de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, deben ser motivados:", "Los actos que rechacen pruebas propuestas por los interesados.", "Los actos que se dicten en ejercicio de potestades regladas.", "Los actos que reconozcan derechos subjetivos o intereses legítimos.", "Los actos sigan el dictamen de órganos consultivos.", "a", "El artículo 35.1.f) de la Ley 39/2015 establece que deben ser motivados los actos que rechacen pruebas propuestas por los interesados."
"El art. 36.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, establece que:", "Los actos administrativos se producirán por escrito a través de medios electrónicos.", "Los actos administrativos se producirán por escrito o verbalmente, a menos que su naturaleza exija otra forma más adecuada de expresión y constancia.", "Los actos administrativos se producirán por escrito a través de medios electrónicos, a menos que su naturaleza exija otra forma más adecuada de expresión y constancia.", "Los actos administrativos se producirán por escrito o verbalmente, siempre por medios electrónicos.", "b", "El artículo 36.1 de la Ley 39/2015 establece que los actos administrativos se producirán por escrito o verbalmente, a menos que su naturaleza exija otra forma más adecuada de expresión y constancia."
"El art. 36.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, establece que en los casos en que los órganos administrativos ejerzan su competencia de forma verbal:", "La constancia del acto se efectuará a través de medios de grabación y difusión.", "La constancia escrita del acto, cuando sea necesaria, se efectuará y firmará por el titular del órgano superior o funcionario que la reciba oralmente, expresando en la comunicación del mismo la autoridad de la que procede.", "La constancia escrita del acto se efectuará y firmará por la autoridad que emita el acto.", "La constancia escrita del acto, cuando sea necesaria, se efectuará y firmará por el titular del órgano inferior o funcionario que la reciba oralmente, expresando en la comunicación del mismo la autoridad de la que procede.", "b", "El artículo 36.2 de la Ley 39/2015 establece que la constancia escrita del acto, cuando sea necesaria, se efectuará y firmará por el titular del órgano superior o funcionario que la reciba oralmente, expresando en la comunicación del mismo la autoridad de la que procede."
"Según el art. 36.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, cuando deba dictarse una serie de actos administrativos de la misma naturaleza, tales como nombramientos, concesiones o licencias:", "Se refundirán en un único acto, acordado por el órgano competente.", "Podrán refundirse en un único acto, certificado por el funcionario competente.", "Podrán refundirse en un único acto, acordado por el órgano competente.", "Se dictarán actos separados, acordados por el órgano competente.", "c", "El artículo 36.3 de la Ley 39/2015 establece que cuando deba dictarse una serie de actos administrativos de la misma naturaleza, tales como nombramientos, concesiones o licencias, podrán refundirse en un único acto, acordado por el órgano competente."
"De acuerdo con el art. 37.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "Las resoluciones administrativas de carácter particular podrán vulnerar lo establecido en una disposición de carácter general si proceden de un órgano de superior jerarquía al que dictó la disposición general.", "Las resoluciones administrativas de carácter particular podrán inaplicar la regulación establecida en una disposición reglamentaria de un órgano inferior.", "Son nulas las resoluciones administrativas que vulneren lo establecido en una disposición reglamentaria, así como aquellas que incurran en alguna de las causas recogidas en el artículo 47.", "Son anulables la resoluciones administrativas que vulneren lo establecido en una disposición reglamentaria, así como aquellas que incurran en alguna de las causas recogidas en el artículo 47.", "c", "El artículo 37.2 de la Ley 39/2015 establece que son nulas las resoluciones administrativas que vulneren lo establecido en una disposición reglamentaria, así como aquellas que incurran en alguna de las causas recogidas en el artículo 47."
"En virtud del principio de inderogabilidad singular consagrado en el art. 37 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "Las resoluciones dictadas por los consejeros pueden vulnerar los decretos aprobados por el Consejo de Gobierno.", "Los actos administrativos del Consejo de Gobierno pueden vulnerar lo establecido en un decreto del propio Consejo de Gobierno.", "Las resoluciones dictadas por los consejeros deben aplicar los decretos aprobados por el Consejo de Gobierno.", "Las resoluciones dictadas por los consejeros únicamente deben aplicar los decretos emanados por los órganos de igual o superior jerarquía.", "c", "El artículo 37 de la Ley 39/2015 establece que las resoluciones dictadas por los consejeros deben aplicar los decretos aprobados por el Consejo de Gobierno."
"Según el art. 39.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, los actos de las Administraciones Públicas sujetos al derecho administrativo, se presumirán válidos y producirán efectos:", "Desde la fecha en que se dicten, salvo que en ellos se disponga otra cosa.", "Desde la fecha en que se notifiquen, salvo que en ellos se disponga otra cosa.", "Desde la fecha en que se dicten, cuando se indique expresamente.", "Desde la fecha en que se notifiquen, cuando se indique expresamente.", "a", "El artículo 39.1 de la Ley 39/2015 establece que los actos de las Administraciones Públicas se presumirán válidos y producirán efectos desde la fecha en que se dicten, salvo que en ellos se disponga otra cosa."
"De acuerdo con el art. 39.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, excepcionalmente podrá otorgarse eficacia retroactiva a los actos:", "Cuando se dicten en sustitución de actos anulados, así como cuando produzcan efectos favorables al interesado.", "Cuando se dicten en sustitución de actos nulos o anulables, así como cuando produzcan efectos favorables al interesado.", "Cuando se dicten en sustitución de actos anulados, así como cuando produzcan efectos desfavorables al interesado.", "Cuando se dicten en sustitución de actos nulos o anulables, así como cuando produzcan efectos desfavorables al interesado.", "b", "El artículo 39.3 de la Ley 39/2015 establece que excepcionalmente podrá otorgarse eficacia retroactiva a los actos cuando se dicten en sustitución de actos nulos o anulables, así como cuando produzcan efectos favorables al interesado."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 39.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "Los actos dictados por los órganos de las Administraciones Públicas en el ejercicio de su propia competencia únicamente vinculan a los órganos de la misma administración.", "Los actos de las Administraciones Públicas sujetos al Derecho Administrativo se presumirán válidos y producirán efectos desde la fecha de la notificación, salvo que en ellos se disponga otra cosa.", "La eficacia quedará demorada cuando lo soliciten los interesados o esté supeditada a su notificación, publicación o aprobación superior.", "Podrá otorgarse eficacia retroactiva a los actos cuando se dicten en sustitución de actos anulados.", "d", "El artículo 39.3 de la Ley 39/2015 establece que podrá otorgarse eficacia retroactiva a los actos cuando se dicten en sustitución de actos anulados."
"Según el art. 39.5 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, cuando una Administración Pública tenga que dictar, en el ámbito de sus competencias, un acto que necesariamente tenga por base otro dictado por una Administración Pública distinta y aquélla entienda que es ilegal:", "No debe aplicar el acto administrativo y simultáneamente debe interponer un recurso contencioso administrativo.", "Podrá requerir a ésta previamente para que anule o revise el acto de acuerdo con lo dispuesto en el artículo 44 de la Ley 29/1998, de 13 de julio, reguladora de la Jurisdicción Contencioso- Administrativa, y, de rechazar el requerimiento, podrá interponer recurso contencioso-administrativo.", "Podrá requerir a ésta previamente para que anule o revise el acto y, de rechazar el requerimiento, suspenderá la aplicación del acto.", "Podrá suspender la aplicación del acto administrativo y simultáneamente debe interponer un recurso contencioso administrativo.", "b", "El artículo 39.5 de la Ley 39/2015 establece que cuando una Administración Pública tenga que dictar un acto que necesariamente tenga por base otro dictado por una Administración Pública distinta y aquélla entienda que es ilegal, podrá requerir a ésta previamente para que anule o revise el acto de acuerdo con lo dispuesto en el artículo 44 de la Ley 29/1998, de 13 de julio, reguladora de la Jurisdicción Contencioso-Administrativa, y, de rechazar el requerimiento, podrá interponer recurso contencioso-administrativo."
