"De acuerdo con el artículo 1 de la Ley municipal y de régimen local de las Illes Balears, la Comunidad Autónoma de las Illes Balears articula su organización territorial en:", "Islas.", "Islas y municipios.", "Islas, municipios y agrupaciones de municipios.", "Islas, municipios, agrupaciones de municipios y entidades locales menores.", "d", "El artículo 1 de la Ley municipal y de régimen local de las Illes Balears establece que la organización territorial incluye islas, municipios, agrupaciones de municipios y entidades locales menores."
"De acuerdo con el artículo 5 de la Ley municipal y de régimen local de las Illes Balears, las entidades locales se rigen, además de por la legislación estatal básica y la misma Ley municipal y de régimen local de las Illes Balears:", "Por los reglamentos autonómicos sobre régimen local y por las otras disposiciones autonómicas conexas o complementarias.", "Por los reglamentos y las ordenanzas propias de cada entidad local.", "Las respuestas a) y b) son correctas.", "Ninguna de las respuestas anteriores es correcta.", "c", "El artículo 5 establece que las entidades locales se rigen por reglamentos autonómicos, disposiciones complementarias y por sus propias ordenanzas y reglamentos."
"De acuerdo con el artículo 8 de la Ley municipal y de régimen local de las Illes Balears, los consejos insulares se rigen, además de por la legislación estatal básica que les sea aplicable:", "Por una ley autonómica específica.", "Por la misma Ley municipal y de régimen local de las Illes Balears.", "Las respuestas a) y b) son correctas.", "Ninguna de las respuestas anteriores es correcta.", "c", "El artículo 8 indica que los consejos insulares se rigen por la legislación estatal básica, la Ley municipal y de régimen local de las Illes Balears y, en su caso, por una ley autonómica específica."
"De acuerdo con el artículo 28 de la Ley municipal y de régimen local de las Illes Balears, una ley del Parlamento de las Illes Balears puede regular un régimen especial para los municipios:", "En los que radiquen las sedes de los consejos insulares.", "En los que se verifiquen circunstancias o funciones supramunicipales que lo aconseje.", "Las respuestas a) y b) son correctas.", "Ninguna de las respuestas anteriores es correcta.", "c", "El artículo 28 permite que se regule un régimen especial para municipios con sedes de consejos insulares o con circunstancias supramunicipales."
"De acuerdo con el artículo 65 de la Ley municipal y de régimen local de las Illes Balears, la dispensa en los municipios de la prestación de los servicios municipales obligatorios:", "No es posible.", "Es posible si así se establece reglamentariamente.", "Es posible si así se establece reglamentariamente, y se prevén los mecanismos de sustitución de la inactividad.", "Es posible si así se establece reglamentariamente o mediante un acuerdo del Gobierno de las Illes Balears.", "c", "El artículo 65 permite la dispensa de servicios municipales obligatorios si se establece reglamentariamente y se prevén mecanismos de sustitución."
"De acuerdo con el artículo 66 de la Ley municipal y de régimen local de las Illes Balears, la utilización de técnicas de supervisión y control de los actos de las entidades locales:", "No es posible.", "Se puede fundamentar en una norma autonómica de rango legal autonómica y tiene que tener por objeto exclusivamente garantizar la legalidad.", "Se puede fundamentar en una noma autonómica de rango legal y tiene que tener por objeto garantizar la legalidad o asegurar el respeto a los intereses generales supraordenados a los intereses locales.", "Se tiene que limitar a las establecidas en la legislación estatal básica de régimen local.", "c", "El artículo 66 permite la supervisión y control basados en normas autonómicas para garantizar la legalidad o proteger intereses generales."
"De acuerdo con el artículo 85 de la Ley municipal y de régimen local de las Illes Balears, es necesario el informe previo del secretario o la secretaria y, si procede, del interventor o la interventora para la adopción de acuerdos en los casos, entre otros, siguientes:", "Cuando se trate de materias para las cuales se exija mayoría absoluta.", "Cuando se trate de materias para las cuales se exija mayoría absoluta o cualificada.", "Cuando se trate de acuerdos cuya resolución sea competencia del pleno o del presidente o la presidenta de la corporación.", "Cuándo lo ordene el presidente o la presidenta de la corporación o lo solicite una cuarta parte de los miembros de la corporación.", "d", "El artículo 85 establece que se requiere informe previo cuando lo ordene el presidente o lo solicite una cuarta parte de los miembros de la corporación."
"De acuerdo con el artículo 101 de la Ley municipal y de régimen local de las Illes Balears, las disposiciones generales que corresponde aprobar a las entidades locales en el ejercicio de su potestad reglamentaria:", "Se denominan en todo caso reglamentos.", "Se denominan reglamentos si tienen por objeto regular la organización y el funcionamiento de la entidad local, y ordenanzas si tienen por objeto regular servicios públicos o cualquier otra materia.", "Se denominan reglamentos si tienen por objeto regular la organización y el funcionamiento de la entidad local o la prestación de servicios públicos, y ordenanzas si tienen por objeto regular cualquier otra materia.", "Se denominan ordenanzas si tienen por objeto regular tributos locales, y reglamentos si tienen por objeto regular cualquier otra materia.", "b", "El artículo 101 distingue entre reglamentos (organización y funcionamiento) y ordenanzas (servicios públicos y otras materias)."
"De acuerdo con el artículo 103 de la Ley municipal y de régimen local de las Illes Balears, los reglamentos, las ordenanzas y el contenido normativo de los planes urbanísticos, empiezan a regir:", "Cuando se publiquen íntegramente en el Boletín Oficial de las Illes Balears.", "Cuando se publiquen íntegramente en el Boletín Oficial de las Illes Balears y, además, haya transcurrido el plazo de quince días hábiles de que dispone el Gobierno de las Illes Balears, el consejo insular y la Delegación del Gobierno para requerir, si procede, su anulación, de acuerdo con el artículo 113 de la misma Ley.", "Cuando se publiquen íntegramente en el Boletín Oficial de las Illes Balears y, además, haya transcurrido el plazo de quince días hábiles de que dispone el Gobierno de las Illes Balears, el consejo insular y la Delegación del Gobierno para requerir, si procede, su anulación, de acuerdo con el artículo 113 de la misma Ley, con excepción de las ordenanzas fiscales, las cuales empiezan a regir cuando se haya publicado íntegramente el acuerdo definitivo y el texto de estas en el Boletín Oficial de las Illes Balears.", "Cuando se publiquen íntegramente en el Boletín Oficial del Estado.", "c", "El artículo 103 establece que los reglamentos y ordenanzas empiezan a regir tras su publicación y el plazo de quince días, excepto las ordenanzas fiscales, que rigen tras su publicación definitiva."
"De acuerdo con el artículo 123 de la Ley municipal y de régimen local de las Illes Balears, los alcaldes de los ayuntamientos pueden someter a consulta popular asuntos de competencia municipal:", "En ningún caso.", "Con el acuerdo previo del pleno de la corporación, adoptado por mayoría simple.", "Con el acuerdo previo del pleno de la corporación, adoptado por mayoría absoluta.", "Con el acuerdo previo del pleno de la corporación, adoptado por mayoría absoluta, siempre que no se trate de asuntos relativos a la hacienda local.", "c", "El artículo 123 permite la consulta popular con acuerdo previo del pleno por mayoría absoluta."
"De acuerdo con el artículo 125 de la Ley municipal y de régimen local de las Illes Balears, los bienes de las entidades locales se clasifican en:", "Bienes de dominio público y bienes patrimoniales.", "Bienes de dominio público, bienes comunales y bienes patrimoniales.", "Bienes de uso público y bienes de uso privado.", "Ninguna de las respuestas anteriores es correcta.", "b", "El artículo 125 clasifica los bienes en dominio público, comunales y patrimoniales."
